benchmark,assign,add,sub,mul,mul_const,div,div_const,mod,cmp,logical,bitwise,unary,if,loop_for,call
2mm,13261443202,13248000000,0,19587840000,0,0,0,0,0,0,0,0,0,13254723200,0
3mm,21620725003,21600000000,0,21600000000,0,0,0,0,0,0,0,0,0,21610365000,0
adi,23976002014,55888056002,55904042000,7984008000,55888056004,15968016000,7,0,0,0,0,15968016002,0,15972013000,0
atax,7927602,7920000,0,7920000,0,0,0,0,0,0,0,0,0,7924000,0
bicg,7926202,7920000,0,7920000,0,0,0,0,0,0,0,0,0,3964000,0
case01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
case02,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
case03,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0
case04,6,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case05,10,6,0,6,0,0,0,0,0,0,0,0,0,8,0
case06,2,0,0,0,0,0,0,0,2,1,4,0,1,0,0
case07,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0
case08,5,3,0,0,0,0,0,0,0,0,0,0,0,3,3
case09,7,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case10,7,5,0,0,5,0,0,0,0,0,0,0,0,5,0
cholesky,12001,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000
correlation,31229004,15602599,23402602,15600000,0,7805200,0,0,2600,0,0,0,2600,23410799,7802600
covariance,15613403,7800000,7800000,0,0,2600,0,0,0,0,0,0,0,15608200,0
deriche,663675379,464486402,12004,99532807,497664004,1,0,0,0,0,0,10,0,199104960,9
doitgen,4054160251,4009500000,0,4009500000,0,0,0,0,0,0,0,0,0,4039255250,0
durbin,27997,3999,3999,3999,3999,0,3999,0,0,0,0,4001,0,3999,0
fdtd-2d,15599403001,15586203000,51971803000,0,15590801000,0,0,0,0,0,0,0,0,15599400000,0
floyd-warshall,175647365601,351232000000,0,0,0,0,0,0,175616000000,0,0,0,175616000000,175647365600,0
gemm,11969804001,11960000000,0,23924600000,0,0,0,0,0,0,0,0,0,11969802000,0
gemver,48016004,64004000,0,96000000,0,0,0,0,0,0,0,0,0,48016000,0
gesummv,15691201,15682800,0,15685600,0,0,0,0,0,0,0,0,0,7842800,0
gramschmidt,10413001,5202600,0,5200000,0,5200000,0,0,0,0,0,0,0,10402600,2600
heat-3d,15603590001,139723056000,108831098000,0,93148704000,0,0,0,0,0,0,0,0,15603589000,0
jacobi-1d,7998001,23988000,15994000,0,7996000,0,0,0,0,0,0,0,0,7997000,0
jacobi-2d,15663206001,93945648000,46984018000,0,15657608000,0,0,0,0,0,0,0,0,15663205000,0
lu,8001,0,0,0,0,0,0,0,0,0,0,0,0,4000,0
ludcmp,32003,4000,1,0,0,4000,0,0,0,0,0,0,0,12000,0
mvt,32008002,32000000,0,32000000,0,0,0,0,0,0,0,0,0,32008000,0
nussinov,5501,5500,1,0,0,0,0,0,0,0,0,0,0,5500,0
polybench,4,2,0,0,0,0,0,0,0,1,0,2,1,0,3
seidel-2d,15988003001,223776056000,111896026001,0,0,0,15984004000,0,0,0,0,0,0,15988003000,0
symm,15602001,10400000,0,15600000,5200000,0,0,0,0,0,0,0,0,5202000,0
syr2k,5205201,0,0,0,0,0,0,0,0,0,0,0,0,5202600,0
syrk,5205201,0,0,0,0,0,0,0,0,0,0,0,0,5202600,0
trisolv,12001,0,0,0,0,4000,0,0,0,0,0,0,0,4000,0
trmm,10402001,5200000,0,5200000,0,0,0,0,0,0,0,0,0,5202000,0
