benchmark,assign,add,sub,mul,mul_const,div,div_const,mod,cmp,logical,bitwise,unary,if,loop_for,call
2mm,1659361602,1656000000,0,2448960000,0,0,0,0,0,0,0,0,0,1657681600,0
3mm,2705182503,2700000000,0,2700000000,0,0,0,0,0,0,0,0,0,2702592500,0
adi,2994001014,6972028002,6976021000,996004000,6972028004,1992008000,7,0,0,0,0,1992008002,0,1993006500,0
atax,7987802,7980000,0,7980000,0,0,0,0,0,0,0,0,0,7984000,0
bicg,7986102,7980000,0,7980000,0,0,0,0,0,0,0,0,0,3994000,0
case01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
case02,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
case03,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0
case04,6,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case05,10,6,0,6,0,0,0,0,0,0,0,0,0,8,0
case06,2,0,0,0,0,0,0,0,2,1,4,0,1,0,0
case07,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0
case08,5,3,0,0,0,0,0,0,0,0,0,0,0,3,3
case09,7,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case10,7,5,0,0,5,0,0,0,0,0,0,0,0,5,0
cholesky,6001,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000
correlation,6733404,3361199,5041202,3360000,0,1682400,0,0,1200,0,0,0,1200,5044999,1681200
covariance,3366203,1680000,1680000,0,0,1200,0,0,0,0,0,0,0,3363800,0
deriche,177011715,123863042,6260,26542087,132710404,1,0,0,0,0,0,10,0,53104864,9
doitgen,547722151,537600000,0,537600000,0,0,0,0,0,0,0,0,0,544341150,0
durbin,13997,1999,1999,1999,1999,0,1999,0,0,0,0,2001,0,1999,0
fdtd-2d,1799901501,1796701500,5993301500,0,1797800500,0,0,0,0,0,0,0,0,1799900000,0
floyd-warshall,21959842801,43904000000,0,0,0,0,0,0,21952000000,0,0,0,21952000000,21959842800,0
gemm,1322302001,1320000000,0,2641100000,0,0,0,0,0,0,0,0,0,1322301000,0
gemver,12008004,16002000,0,24000000,0,0,0,0,0,0,0,0,0,12008000,0
gesummv,3385201,3381300,0,3382600,0,0,0,0,0,0,0,0,0,1691300,0
gramschmidt,2406001,1201200,0,1200000,0,1200000,0,0,0,0,0,0,0,2401200,1200
heat-3d,1657075001,14787288000,11529309000,0,9858192000,0,0,0,0,0,0,0,0,1657074500,0
jacobi-1d,1999001,5994000,3997000,0,1998000,0,0,0,0,0,0,0,0,1998500,0
jacobi-2d,1686103001,10108824000,5057009000,0,1684804000,0,0,0,0,0,0,0,0,1686102500,0
lu,4001,0,0,0,0,0,0,0,0,0,0,0,0,2000,0
ludcmp,16003,2000,1,0,0,2000,0,0,0,0,0,0,0,6000,0
mvt,8004002,8000000,0,8000000,0,0,0,0,0,0,0,0,0,8004000,0
nussinov,2501,2500,1,0,0,0,0,0,0,0,0,0,0,2500,0
polybench,4,2,0,0,0,0,0,0,0,1,0,2,1,0,3
seidel-2d,1997001501,27944028000,13974013001,0,0,0,1996002000,0,0,0,0,0,0,1997001500,0
symm,3601001,2400000,0,3600000,1200000,0,0,0,0,0,0,0,0,1201000,0
syr2k,1202401,0,0,0,0,0,0,0,0,0,0,0,0,1201200,0
syrk,1202401,0,0,0,0,0,0,0,0,0,0,0,0,1201200,0
trisolv,6001,0,0,0,0,2000,0,0,0,0,0,0,0,2000,0
trmm,2401001,1200000,0,1200000,0,0,0,0,0,0,0,0,0,1201000,0
