benchmark,assign,add,sub,mul,mul_const,div,div_const,mod,cmp,logical,bitwise,unary,if,loop_for,call
2mm,14853962,14706000,0,21927600,0,0,0,0,0,0,0,0,0,14780160,0
3mm,23024353,22800000,0,22800000,0,0,0,0,0,0,0,0,0,22912450,0
adi,23760214,54885602,55044200,7840800,54885604,15681600,7,0,0,0,0,15681602,0,15721300,0
atax,321382,319800,0,319800,0,0,0,0,0,0,0,0,0,320600,0
bicg,321012,319800,0,319800,0,0,0,0,0,0,0,0,0,160700,0
case01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
case02,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
case03,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0
case04,6,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case05,10,6,0,6,0,0,0,0,0,0,0,0,0,8,0
case06,2,0,0,0,0,0,0,0,2,1,4,0,1,0,0
case07,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0
case08,5,3,0,0,0,0,0,0,0,0,0,0,0,3,3
case09,7,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case10,7,5,0,0,5,0,0,0,0,0,0,0,0,5,0
cholesky,1201,0,0,0,0,0,0,0,0,0,0,0,0,400,400
correlation,252264,125039,187442,124800,0,62880,0,0,240,0,0,0,240,188179,62640
covariance,126023,62400,62400,0,0,240,0,0,0,0,0,0,0,125540,0
deriche,6924259,4838402,1204,1036807,5184004,1,0,0,0,0,0,10,0,2077440,9
doitgen,7564051,7200000,0,7200000,0,0,0,0,0,0,0,0,0,7442050,0
durbin,2797,399,399,399,399,0,399,0,0,0,0,401,0,399,0
fdtd-2d,14396301,14268300,47732300,0,14312100,0,0,0,0,0,0,0,0,14396000,0
floyd-warshall,125250501,250000000,0,0,0,0,0,0,125000000,0,0,0,125000000,125250500,0
gemm,10652401,10560000,0,21164000,0,0,0,0,0,0,0,0,0,10652200,0
gemver,481604,640400,0,960000,0,0,0,0,0,0,0,0,0,481600,0
gesummv,126001,125250,0,125500,0,0,0,0,0,0,0,0,0,62750,0
gramschmidt,97201,48240,0,48000,0,48000,0,0,0,0,0,0,0,96240,240
heat-3d,11271001,98769600,77413800,0,65846400,0,0,0,0,0,0,0,0,11270900,0
jacobi-1d,79801,238800,159400,0,79600,0,0,0,0,0,0,0,0,79700,0
jacobi-2d,12350601,73804800,37001800,0,12300800,0,0,0,0,0,0,0,0,12350500,0
lu,801,0,0,0,0,0,0,0,0,0,0,0,0,400,0
ludcmp,3203,400,1,0,0,400,0,0,0,0,0,0,0,1200,0
mvt,320802,320000,0,320000,0,0,0,0,0,0,0,0,0,320800,0
nussinov,501,500,1,0,0,0,0,0,0,0,0,0,0,500,0
polybench,4,2,0,0,0,0,0,0,0,1,0,2,1,0,3
seidel-2d,15880301,221765600,110962601,0,0,0,15840400,0,0,0,0,0,0,15880300,0
symm,144201,96000,0,144000,48000,0,0,0,0,0,0,0,0,48200,0
syr2k,48481,0,0,0,0,0,0,0,0,0,0,0,0,48240,0
syrk,48481,0,0,0,0,0,0,0,0,0,0,0,0,48240,0
trisolv,1201,0,0,0,0,400,0,0,0,0,0,0,0,400,0
trmm,96201,48000,0,48000,0,0,0,0,0,0,0,0,0,48200,0
