benchmark,assign,add,sub,mul,mul_const,div,div_const,mod,cmp,logical,bitwise,unary,if,loop_for,call
2mm,14626,13248,0,19968,0,0,0,0,0,0,0,0,0,13952,0
3mm,23725,21600,0,21600,0,0,0,0,0,0,0,0,0,22686,0
adi,43254,90722,93640,12960,90724,25920,7,0,0,0,0,25922,0,26660,0
atax,3350,3192,0,3192,0,0,0,0,0,0,0,0,0,3272,0
bicg,3316,3192,0,3192,0,0,0,0,0,0,0,0,0,1676,0
case01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
case02,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
case03,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0
case04,6,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case05,10,6,0,6,0,0,0,0,0,0,0,0,0,8,0
case06,2,0,0,0,0,0,0,0,2,1,4,0,1,0,0
case07,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0
case08,5,3,0,0,0,0,0,0,0,0,0,0,0,3,3
case09,7,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case10,7,5,0,0,5,0,0,0,0,0,0,0,0,5,0
cholesky,121,0,0,0,0,0,0,0,0,0,0,0,0,40,40
correlation,3900,1819,2718,1792,0,952,0,0,28,0,0,0,28,2803,924
covariance,1939,896,896,0,0,28,0,0,0,0,0,0,0,1880,0
deriche,83219,57346,132,12295,61444,1,0,0,0,0,0,10,0,24960,9
doitgen,14571,11520,0,11520,0,0,0,0,0,0,0,0,0,13530,0
durbin,277,39,39,39,39,0,39,0,0,0,0,41,0,39,0
fdtd-2d,35861,33060,113860,0,34020,0,0,0,0,0,0,0,0,35800,0
floyd-warshall,219661,432000,0,0,0,0,0,0,216000,0,0,0,216000,219660,0
gemm,16141,15000,0,30500,0,0,0,0,0,0,0,0,0,16120,0
gemver,4964,6440,0,9600,0,0,0,0,0,0,0,0,0,4960,0
gesummv,1921,1830,0,1860,0,0,0,0,0,0,0,0,0,930,0
gramschmidt,1351,630,0,600,0,600,0,0,0,0,0,0,0,1230,30
heat-3d,23401,184320,149160,0,122880,0,0,0,0,0,0,0,0,23380,0
jacobi-1d,1161,3360,2280,0,1120,0,0,0,0,0,0,0,0,1140,0
jacobi-2d,32521,188160,96360,0,31360,0,0,0,0,0,0,0,0,32500,0
lu,81,0,0,0,0,0,0,0,0,0,0,0,0,40,0
ludcmp,323,40,1,0,0,40,0,0,0,0,0,0,0,120,0
mvt,3282,3200,0,3200,0,0,0,0,0,0,0,0,0,3280,0
nussinov,61,60,1,0,0,0,0,0,0,0,0,0,0,60,0
polybench,4,2,0,0,0,0,0,0,0,1,0,2,1,0,3
seidel-2d,29661,404320,203721,0,0,0,28880,0,0,0,0,0,0,29660,0
symm,1821,1200,0,1800,600,0,0,0,0,0,0,0,0,620,0
syr2k,661,0,0,0,0,0,0,0,0,0,0,0,0,630,0
syrk,661,0,0,0,0,0,0,0,0,0,0,0,0,630,0
trisolv,121,0,0,0,0,40,0,0,0,0,0,0,0,40,0
trmm,1221,600,0,600,0,0,0,0,0,0,0,0,0,620,0
